Your session has expired,A sua sessão expirou
No product added.,Nenhum produto adicionado.
You added %1 to your shopping cart.,Adicionou %1 ao seu carrinho de compras.
We can't add this item to your shopping cart right now.,Não podemos adicionar este artigo ao seu carrinho de compras neste momento.
Product not found.,Produto não encontrado.
NoSuchEntityException Product not found.,NoSuchEntityException Produto não encontrado.
We can't specify a product.,Não podemos especificar um produto.
Page not found.,Página não encontrada.
'Add wishlist error ' .,'Adicionar erro de lista de desejos' .
Popup,Popup
Show Minicart,Mostrar minicarrinho
Show Popup,Mostrar pop-up
Added to your bag,Adicionado à sua bolsa
Qty,quantidade
Continue Shopping,Continue comprando
View Cart,Ver carrinho
<strong>%1</strong>added to your Comparision list.,<strong>%1</strong>adicionado à sua lista de comparação.
View Compare List,Ver Lista de Comparação
"<strong>%1</strong> <p class=""greycolor"">added to your wishlist.</p>","<strong>%1</strong> <p class=""greycolor"">adicionado à sua lista de desejos.</p>"
View Wish List,Ver lista de desejos
Questions,Perguntas
A total of %1 element(s) have been deleted.,Um total de %1 elemento(s) foi(ão) excluído(s).
Error send question!,Erro ao enviar pergunta!
Thank you for send us question!,Obrigado por nos enviar a pergunta!
"'Failed to send email, please try again later.' .","'Falha ao enviar e-mail, tente novamente mais tarde.' ."
Something went wrong while saving the file(s).,Algo deu errado ao salvar o(s) arquivo(s).
File validation failed.,Validação do arquivo falhou.
File can not be saved to the destination folder.,O arquivo não pode ser salvo na pasta de destino.
After Content Heading,Depois do título do conteúdo
Before Content Heading,Antes do título do conteúdo
Email is incorrect,O e-mail está incorreto
Alert subscription has been saved.,A assinatura do alerta foi salva.
An unknown error.,Um erro desconhecido.
Buy %1 more to enjoy %2,Compre %1 a mais para aproveitar %2
Congrats! You are eligible for %1 ,Parabéns! Você é elegível para %1
Free Shipping for all orders over %1,Frete grátis para todos os pedidos acima de %1
%1 items,%1 itens
Read more,Leia Mais
We can't find products matching the selection.,Não encontramos produtos que correspondam à seleção.
Add to Cart,Adicionar ao carrinho
In stock,Em estoque
Out of stock,Fora de estoque
Learn More,Saber mais
Filter,Filtro
2 Columns,2 colunas
3 Columns,3 colunas
4 Columns,4 colunas
5 Columns,5 colunas
